# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"id","name","type","power","accuracy","pp","damage_class","ailment","ailment_chance"
"90","Fissure","Ground","0","30","5","physical","None","0"
"91","Dig","Ground","80","100","10","physical","None","0"
"92","Toxic","Poison","0","90","10","status","Poison","0"
"93","Confusion","Psychic","50","100","25","special","Confusion","10"
"94","Psychic","Psychic","90","100","10","special","None","0"
"95","Hypnosis","Psychic","0","60","20","status","Sleep","0"
"96","Meditate","Psychic","0","0","40","status","None","0"
"97","Agility","Psychic","0","0","30","status","None","0"
"98","Quick-Attack","Normal","40","100","30","physical","None","0"
"99","Rage","Normal","20","100","20","physical","None","0"
"100","Teleport","Psychic","0","0","20","status","None","0"
"101","Night-Shade","Ghost","0","100","15","special","None","0"
"102","Mimic","Normal","0","0","10","status","None","0"
"103","Screech","Normal","0","85","40","status","None","0"
"104","Double-Team","Normal","0","0","15","status","None","0"
"105","Recover","Normal","0","0","5","status","None","0"
"106","Harden","Normal","0","0","30","status","None","0"
"107","Minimize","Normal","0","0","10","status","None","0"
"108","Smokescreen","Normal","0","100","20","status","None","0"
"109","Confuse-Ray","Ghost","0","100","10","status","Confusion","0"
"110","Withdraw","Water","0","0","40","status","None","0"
"111","Defense-Curl","Normal","0","0","40","status","None","0"
"112","Barrier","Psychic","0","0","20","status","None","0"
"113","Light-Screen","Psychic","0","0","30","status","None","0"
"114","Haze","Ice","0","0","30","status","None","0"
"115","Reflect","Psychic","0","0","20","status","None","0"
"116","Focus-Energy","Normal","0","0","30","status","None","0"
"117","Bide","Normal","0","0","10","physical","None","0"
"118","Metronome","Normal","0","0","10","status","None","0"
"119","Mirror-Move","Flying","0","0","20","status","None","0"
"120","Self-Destruct","Normal","200","100","5","physical","None","0"
"121","Egg-Bomb","Normal","100","75","10","physical","None","0"
"122","Lick","Ghost","30","100","30","physical","Paralysis","30"
"123","Smog","Poison","30","70","20","special","Poison","40"
"124","Sludge","Poison","65","100","20","special","Poison","30"
"125","Bone-Club","Ground","65","85","20","physical","None","0"
"126","Fire-Blast","Fire","110","85","5","special","Burn","10"
"127","Waterfall","Water","80","100","15","physical","None","0"
"128","Clamp","Water","35","85","15","physical","None","100"
"129","Swift","Normal","60","0","20","special","None","0"
"130","Skull-Bash","Normal","130","100","10","physical","None","100"
"131","Spike-Cannon","Normal","20","100","15","physical","None","0"
"132","Constrict","Normal","10","100","35","physical","None","0"
"133","Amnesia","Psychic","0","0","20","status","None","0"
"134","Kinesis","Psychic","0","80","15","status","None","0"
"135","Soft-Boiled","Normal","0","0","5","status","None","0"
"136","High-Jump-Kick","Fighting","130","90","10","physical","None","0"
"137","Glare","Normal","0","100","30","status","Paralysis","0"
"138","Dream-Eater","Psychic","100","100","15","special","None","0"
"139","Poison-Gas","Poison","0","90","40","status","Poison","0"
"140","Barrage","Normal","15","85","20","physical","None","0"
"141","Leech-Life","Bug","80","100","10","physical","None","0"
"142","Lovely-Kiss","Normal","0","75","10","status","Sleep","0"
"143","Sky-Attack","Flying","140","90","5","physical","None","0"
"144","Transform","Normal","0","0","10","status","None","0"
"145","Bubble","Water","40","100","30","special","None","0"
"146","Dizzy-Punch","Normal","70","100","10","physical","Confusion","20"
"147","Spore","Grass","0","100","15","status","Sleep","0"
"148","Flash","Normal","0","100","20","status","None","0"
"149","Psywave","Psychic","0","100","15","special","None","0"
"150","Splash","Normal","0","0","40","status","None","0"
"151","Acid-Armor","Poison","0","0","20","status","None","0"
"152","Crabhammer","Water","100","90","10","physical","None","0"
"153","Explosion","Normal","250","100","5","physical","None","0"
"154","Fury-Swipes","Normal","18","80","15","physical","None","0"
"155","Bonemerang","Ground","50","90","10","physical","None","0"
"156","Rest","Psychic","0","0","5","status","None","0"
"157","Rock-Slide","Rock","75","90","10","physical","None","0"
"158","Hyper-Fang","Normal","80","90","15","physical","None","0"
"159","Sharpen","Normal","0","0","30","status","None","0"
"160","Conversion","Normal","0","0","30","status","None","0"
"161","Tri-Attack","Normal","80","100","10","special","None","20"
"162","Super-Fang","Normal","0","90","10","physical","None","0"
"163","Slash","Normal","70","100","20","physical","None","0"
"164","Substitute","Normal","0","0","10","status","None","0"
"165","Struggle","Normal","50","0","1","physical","None","0"
