# PokeAPI https://pokeapi.co/api/v2 - generation-i / red-blue
"species_id","level","move_id"
"28","1","28"
"28","17","163"
"28","27","40"
"28","36","129"
"28","47","154"
"29","1","33"
"29","1","45"
"29","8","10"
"29","14","40"
"29","21","39"
"29","29","44"
"29","36","154"
"29","43","24"
"30","1","10"
"30","1","33"
"30","1","45"
"30","14","40"
"30","23","39"
"30","32","44"
"30","41","154"
"30","50","24"
"31","1","10"
"31","1","33"
"31","1","34"
"31","1","39"
"31","14","40"
"32","1","33"
"32","1","43"
"32","8","30"
"32","14","40"
"32","21","116"
"32","29","31"
"32","36","32"
"32","43","24"
"33","1","30"
"33","1","33"
"33","1","43"
"33","14","40"
"33","23","116"
"33","32","31"
"33","41","32"
"33","50","24"
"34","1","30"
"34","1","33"
"34","1","37"
"34","1","40"
"35","1","1"
"35","1","45"
"35","13","47"
"35","18","3"
"35","24","107"
"35","31","118"
"35","39","111"
"35","48","113"
"36","1","3"
"36","1","47"
"36","1","107"
"36","1","118"
"37","1","39"
"37","1","52"
"37","16","98"
"37","21","46"
"37","28","109"
"37","35","53"
"37","42","83"
"38","1","39"
"38","1","46"
"38","1","52"
"38","1","98"
"39","1","47"
"39","9","1"
"39","14","50"
"39","19","111"
"39","24","3"
"39","29","156"
"39","34","34"
"39","39","38"
"40","1","3"
"40","1","47"
"40","1","50"
"40","1","111"
"41","1","141"
"41","10","48"
"41","15","44"
"41","21","109"
"41","28","17"
"41","36","114"
"42","1","44"
"42","1","103"
"42","1","141"
"42","10","48"
"42","21","109"
"42","32","17"
"42","43","114"
"43","1","71"
"43","15","77"
"43","17","78"
"43","19","79"
"43","24","51"
"43","33","80"
"43","46","76"
"44","1","71"
"44","1","77"
"44","1","78"
"44","19","79"
"44","28","51"
"44","38","80"
"44","52","76"
"45","1","51"
"45","1","78"
"45","1","79"
"45","1","80"
"45","15","77"
"46","1","10"
"46","13","78"
"46","20","141"
"46","27","147"
"46","34","163"
"46","41","74"
"47","1","10"
"47","1","78"
"47","1","141"
"47","30","147"
"47","39","163"
"47","48","74"
"48","1","33"
"48","1","50"
"48","24","77"
"48","27","141"
"48","30","78"
"48","35","60"
"48","38","79"
"48","43","94"
"49","1","33"
"49","1","50"
"49","1","77"
"49","1","141"
"49","30","78"
"49","38","60"
"49","43","79"
"49","50","94"
"50","1","10"
"50","15","45"
"50","19","91"
"50","24","28"
"50","31","163"
"50","40","89"
"51","1","10"
"51","1","45"
"51","1","91"
"51","24","28"
"51","35","163"
"51","47","89"
"52","1","10"
"52","1","45"
"52","12","44"
"52","17","6"
"52","24","103"
"52","33","154"
"52","44","163"
"53","1","10"
"53","1","44"
"53","1","45"
"53","1","103"
"53","17","6"
"53","37","154"
"53","51","163"
"54","1","10"
"54","28","39"
"54","31","50"
"54","36","93"
"54","43","154"
"54","52","56"
"55","1","10"
"55","1","39"
"55","1","50"
"55","39","93"
"55","48","154"
"55","59","56"
"56","1","10"
"56","1","43"
"56","15","2"
"56","21","154"
"56","27","116"
"56","33","69"
"56","39","37"
"57","1","2"
"57","1","10"
"57","1","43"
"57","1","154"
"57","27","116"
"57","37","69"
"57","46","37"
"58","1","44"
"58","1","46"
"58","18","52"
"58","23","43"
"58","30","36"
"58","39","97"
"58","50","53"
"59","1","36"
"59","1","43"
"59","1","46"
"59","1","52"
"60","1","145"
"60","16","95"
"60","19","55"
"60","25","3"
"60","31","34"
"60","38","133"
"60","45","56"
"61","1","55"
"61","1","95"
"61","1","145"
"61","26","3"
"61","33","34"
"61","41","133"
"61","49","56"
"62","1","3"
"62","1","34"
"62","1","55"
"62","1","95"
"63","1","100"
"64","1","50"
"64","1","93"
"64","1","100"
"64","27","60"
"64","31","105"
"64","38","94"
"64","42","115"
"65","1","50"
"65","1","93"
"65","1","100"
"65","27","60"
"65","31","105"
"65","38","94"
"65","42","115"
"66","1","2"
"66","20","67"
"66","25","43"
"66","32","116"
"66","39","69"
"66","46","66"
"67","1","2"
"67","1","43"
"67","1","67"
"67","36","116"
"67","44","69"
"67","52","66"
"68","1","2"
"68","1","43"
"68","1","67"
"68","36","116"
"68","44","69"
"68","52","66"
"69","1","22"
"69","1","74"
"69","13","35"
"69","15","77"
"69","18","79"
"69","21","78"
"69","26","51"
"69","33","75"
"69","42","21"
"70","1","22"
"70","1","35"
"70","1","74"
"70","15","77"
"70","18","79"
"70","23","78"
"70","29","51"
"70","38","75"
"70","49","21"
"71","1","51"
"71","1","75"
"71","1","78"
"71","1","79"
"71","13","35"
"71","15","77"
"72","1","51"
"72","7","48"
"72","13","35"
"72","18","40"
"72","22","55"
"72","27","132"
"72","33","112"
"72","40","103"
"72","48","56"
"73","1","35"
"73","1","48"
"73","1","51"
"73","18","40"
"73","22","55"
"73","27","132"
"73","35","112"
"73","43","103"
"73","50","56"
"74","1","33"
"74","11","111"
"74","16","88"
"74","21","120"
"74","26","106"
"74","31","89"
"74","36","153"
"75","1","33"
"75","1","111"
"75","16","88"
"75","21","120"
"75","29","106"
"75","36","89"
"75","43","153"
"76","1","33"
"76","1","111"
"76","16","88"
"76","21","120"
"76","29","106"
"76","36","89"
"76","43","153"
"77","1","52"
"77","30","39"
"77","32","23"
"77","35","45"
"77","39","83"
"77","43","36"
"77","48","97"
"78","1","23"
"78","1","39"
"78","1","45"
"78","1","52"
"78","39","83"
"78","47","36"
"78","55","97"
"79","1","93"
"79","18","50"
"79","22","29"
"79","27","45"
"79","33","55"
"79","40","133"
"79","48","94"
"80","1","29"
"80","1","50"
"80","1","93"
"80","27","45"
"80","33","55"
"80","37","110"
"80","44","133"
"80","55","94"
"81","1","33"
"81","21","49"
"81","25","84"
"81","29","48"
"81","35","86"
"81","41","129"
"81","47","103"
"82","1","33"
"82","1","49"
"82","1","84"
"82","29","48"
"82","38","86"
"82","46","129"
"82","54","103"
"83","1","28"
"83","1","64"
"83","7","43"
"83","15","31"
"83","23","14"
"83","31","97"
"83","39","163"
"84","1","64"
"84","20","45"
"84","24","31"
"84","30","65"
"84","36","99"
"84","40","161"
"84","44","97"
"85","1","31"
"85","1","45"
"85","1","64"
"85","30","65"
"85","39","99"
"85","45","161"
"85","51","97"
"86","1","29"
"86","30","45"
"86","35","62"
"86","40","156"
"86","45","36"
"86","50","58"
"87","1","29"
"87","1","45"
"87","1","62"
"87","44","156"
"87","50","36"
"87","56","58"
"88","1","1"
"88","1","50"
"88","30","139"
"88","33","107"
"88","37","124"
"88","42","106"
"88","48","103"
"88","55","151"
"89","1","1"
"89","1","50"
"89","1","139"
"89","33","107"
"89","37","124"
"89","45","106"
"89","53","103"
"89","60","151"
"90","1","33"
"90","1","110"
"90","18","48"
"90","23","128"
"90","30","62"
"90","39","43"
"90","50","58"
"91","1","48"
"91","1","62"
"91","1","110"
"91","1","128"
"91","50","131"
"92","1","101"
"92","1","109"
"92","1","122"
"92","27","95"
"92","35","138"
"93","1","101"
"93","1","109"
"93","1","122"
"93","29","95"
"93","38","138"
"94","1","101"
"94","1","109"
"94","1","122"
"94","29","95"
"94","38","138"
"95","1","33"
"95","1","103"
"95","15","20"
"95","19","88"
"95","25","99"
"95","33","21"
"95","43","106"
"96","1","1"
"96","1","95"
"96","12","50"
"96","17","93"
"96","24","29"
"96","29","139"
"96","32","94"
"96","37","96"
"97","1","1"
"97","1","50"
"97","1","93"
"97","1","95"
"97","24","29"
"97","33","139"
"97","37","94"
"97","43","96"
"98","1","43"
"98","1","145"
"98","20","11"
"98","25","12"
"98","30","23"
"98","35","152"
"98","40","106"
"99","1","11"
"99","1","43"
"99","1","145"
"99","25","12"
"99","34","23"
"99","42","152"
"99","49","106"
"100","1","33"
"100","1","103"
"100","17","49"
"100","22","120"
"100","29","113"
"100","36","129"
"100","43","153"
"101","1","33"
"101","1","49"
"101","1","103"
"101","22","120"
"101","29","113"
"101","40","129"
"101","50","153"
"102","1","95"
"102","1","140"
"102","25","115"
"102","28","73"
"102","32","78"
"102","37","77"
"102","42","76"
"102","48","79"
"103","1","95"
"103","1","140"
"103","28","23"
"104","1","45"
"104","1","125"
"104","25","43"
"104","31","116"
"104","38","37"
"104","43","155"
"104","46","99"
"105","1","43"
"105","1","45"
"105","1","116"
"105","1","125"
"105","41","37"
"105","48","155"
"105","55","99"
"106","1","24"
"106","1","96"
"106","33","27"
"106","38","26"
"106","43","116"
"106","48","136"
"106","53","25"
"107","1","4"
"107","1","97"
"107","33","7"
"107","38","8"
"107","43","9"
"107","48","5"
"107","53","68"
"108","1","35"
"108","1","48"
"108","7","23"
"108","15","50"
"108","23","111"
"108","31","21"
"108","39","103"
"109","1","33"
"109","1","123"
"109","32","124"
"109","37","108"
"109","40","120"
"109","45","114"
"109","48","153"
"110","1","33"
"110","1","123"
"110","1","124"
"110","39","108"
"110","43","120"
"110","49","114"
"110","53","153"
"111","1","30"
"111","30","23"
"111","35","39"
"111","40","31"
"111","45","32"
"111","50","43"
"111","55","36"
"112","1","23"
"112","1","30"
"112","1","31"
"112","1","39"
"112","48","32"
"112","55","43"
"112","64","36"
"113","1","1"
"113","1","3"
"113","24","47"
"113","30","45"
"113","38","107"
"113","44","111"
"113","48","113"
"113","54","38"
"114","1","20"
"114","1","132"
"114","29","71"
"114","32","77"
"114","36","78"
"114","39","79"
"114","45","21"
"114","49","74"
"115","1","4"
"115","1","99"
"115","26","44"
"115","31","39"
"115","36","5"
"115","41","43"
"115","46","146"
"116","1","145"
"116","19","108"
"116","24","43"
"116","30","55"
"116","37","97"
"116","45","56"
"117","1","108"
"117","1","145"
"117","24","43"
"117","30","55"
"117","41","97"
"117","52","56"
"118","1","39"
"118","1","64"
"118","19","48"
"118","24","30"
"118","30","31"
"118","37","127"
"118","45","32"
"118","54","97"
"119","1","39"
"119","1","48"
"119","1","64"
"119","24","30"
"119","30","31"
"119","39","127"
"119","48","32"
"119","54","97"
"120","1","33"
"120","17","55"
"120","22","106"
"120","27","105"
"120","32","129"
"120","37","107"
"120","42","113"
"120","47","56"
"121","1","33"
"121","1","55"
"121","1","106"
"122","1","93"
"122","1","112"
"122","23","113"
"122","31","3"
"122","39","96"
"122","47","164"
"123","1","98"
"123","17","43"
"123","20","116"
"123","24","104"
"123","29","163"
"123","35","14"
"123","42","97"
"124","1","1"
"124","1","142"
"124","18","122"
"124","23","3"
"124","31","8"
"124","39","34"
"124","47","37"
"124","58","59"
"125","1","43"
"125","1","98"
"125","34","84"
"125","37","103"
"125","42","9"
"125","49","113"
"125","54","87"
"126","1","52"
"126","36","43"
"126","39","109"
"126","43","7"
"126","48","108"
"126","52","123"
"126","55","53"
"127","1","11"
"127","25","69"
"127","30","12"
"127","36","116"
"127","43","106"
"127","49","163"
"127","54","14"
"128","1","33"
"128","21","23"
"128","28","39"
"128","35","43"
"128","44","99"
"128","51","36"
"129","1","150"
"129","15","33"
"130","1","43"
"130","1","44"
"130","1","56"
"130","1","82"
"130","52","63"
"131","1","45"
"131","1","55"
"131","16","47"
"131","20","54"
"131","25","34"
"131","31","109"
"131","38","58"
"131","46","56"
"132","1","144"
"133","1","28"
"133","1","33"
"133","27","98"
"133","31","39"
"133","37","44"
"133","45","36"
"134","1","28"
"134","1","33"
"134","1","55"
"134","1","98"
"134","37","39"
"134","40","44"
"134","42","151"
"134","44","114"
"134","48","54"
"134","54","56"
"135","1","28"
"135","1","33"
"135","1","84"
"135","1","98"
"135","37","39"
"135","40","86"
"135","42","24"
"135","44","97"
"135","48","42"
"135","54","87"
"136","1","28"
"136","1","33"
"136","1","52"
"136","1","98"
"136","37","39"
"136","40","44"
"136","42","43"
"136","44","83"
"136","48","99"
"136","54","53"
"137","1","33"
"137","1","159"
"137","1","160"
"137","23","60"
"137","28","105"
"137","35","97"
"137","42","161"
"138","1","55"
"138","1","110"
"138","34","30"
"138","39","43"
"138","46","131"
"138","53","56"
"139","1","30"
"139","1","55"
"139","1","110"
"139","39","43"
"139","44","131"
"139","49","56"
"140","1","10"
"140","1","106"
"140","34","71"
"140","39","163"
"140","44","43"
"140","49","56"
"141","1","10"
"141","1","71"
"141","1","106"
"141","39","163"
"141","46","43"
"141","53","56"
"142","1","17"
"142","1","97"
"142","33","48"
"142","38","44"
"142","45","36"
"142","54","63"
"143","1","29"
"143","1","133"
"143","1","156"
"143","35","34"
"143","41","106"
"143","48","38"
"143","56","63"
"144","1","58"
"144","1","64"
"144","51","59"
"144","55","97"
"144","60","54"
"145","1","65"
"145","1","84"
"145","51","87"
"145","55","97"
"145","60","113"
"146","1","64"
"146","1","83"
"146","51","43"
"146","55","97"
"146","60","143"
"147","1","35"
"147","1","43"
"147","10","86"
"147","20","97"
"147","30","21"
"147","40","82"
"147","50","63"
"148","1","35"
"148","1","43"
"148","1","86"
"148","20","97"
"148","35","21"
"148","45","82"
"148","55","63"
"149","1","35"
"149","1","43"
"149","1","86"
"149","1","97"
"149","35","21"
"149","45","82"
"149","60","63"
"150","1","50"
"150","1","93"
"150","1","94"
"150","1","129"
"150","63","112"
"150","70","105"
"150","75","54"
"150","81","133"
"151","1","1"
"151","10","144"
"151","20","5"
"151","30","118"
"151","40","94"
